member.firstname,member.lastname1,member.lastname2,organization.name
Armando,Celis,Ceja,Los Sebastianes de Saúl Plata
Jesús Andrés,Padilla,Heraldez,Los Sebastianes de Saúl Plata
Rafael,Kelly,Díaz,Los Sebastianes de Saúl Plata
Héctor,Javier,Larrañaga,Los Sebastianes de Saúl Plata
Jonny,Sánchez,Elizalde,Los Sebastianes de Saúl Plata
Fidel Eduardo,García,Morales,Los Sebastianes de Saúl Plata
Rafael,Correa,Villalobos,Los Sebastianes de Saúl Plata
Herminio,Moreno,Díaz,Los Sebastianes de Saúl Plata
José Noé Vidal Ibarra,Los Sebastianes de Saúl Plata
Eleyzer Gabriel,Rivera,Garate,Los Sebastianes de Saúl Plata
Daniel Paúl,Serrano,Mendoza,Los Sebastianes de Saúl Plata
Salvador,López,Moreno,Los Sebastianes de Saúl Plata
Julio César Tirado González,Los Sebastianes de Saúl Plata
Marco Antonio,Domínguez,Arteaga,Los Sebastianes de Saúl Plata
Juan Emir,Aguirre,Vázquez,Los Sebastianes de Saúl Plata
Cristian Emir,Aguirre,Casas,Los Sebastianes de Saúl Plata
Cristian Ernesto,Ruíz,Rojas,Los Sebastianes de Saúl Plata
Mario,Quintero,Lara,Los Tucanes de Tijuana
David,Servín,Raya,Los Tucanes de Tijuana
Alfredo,González,González,Los Tucanes de Tijuana
Gustavo,Labrada,Valenzuela,Los Tucanes de Tijuana
Adrián,Arce,Choza,Los Tucanes de Tijuana
Armando,Moreno,Álvarez,Los Alegres del Barranco
José Pavel,Moreno,Serrano,Los Alegres del Barranco
José Carlos,Moreno,Álvarez,Los Alegres del Barranco
Cristóbal,Reyes,López,Los Alegres del Barranco
